survey_id,nama_responden,no_hp,kecamatan,kabupaten,kondisi_lahan,luas_lahan_ha,persentase_serangan,estimasi_kerugian_pct,penggunaan_fungisida,varietas_padi,musim_tanam,durasi_gejala_hari,jarak_ke_PPL_km,tingkat_kesadaran,metode_deteksi,frekuensi_monitoring,akses_informasi,skor_kepuasan_petani,tanggal_survei
SRV-001,Tarman Suhendi,085712345601,Indramayu,Indramayu,blast,1.5,65,47,Ya,Ciherang,Gadu,12,3.2,Sedang,Visual,Mingguan,PPL,3,2026-04-01
SRV-002,Suryadi Kartawidjaja,085712345602,Lohbener,Indramayu,blight,2.0,45,28,Tidak,IR64,Rendeng,8,6.1,Rendah,Visual,Bulanan,Tetangga,2,2026-04-01
SRV-003,Hasan Basri,085712345603,Kandanghaur,Indramayu,tungro,0.75,80,72,Ya,Inpari13,Gadu,15,8.5,Tinggi,Foto,Mingguan,PPL,4,2026-04-01
SRV-004,Warsono Hadikusuma,085712345604,Sukra,Indramayu,sehat,1.25,0,0,Ya,Mekongga,Rendeng,0,5.3,Sedang,Visual,Mingguan,Radio,4,2026-04-01
SRV-005,Nana Suryana,085712345605,Patrol,Indramayu,tungro,3.0,90,85,Tidak,Ciherang,Gadu,20,12.4,Rendah,Visual,Tidak Rutin,Sendiri,1,2026-04-01
SRV-006,Sarip Hidayat,085712345606,Anjatan,Indramayu,blight,0.5,35,22,Ya,IR64,Rendeng,6,4.7,Tinggi,Foto,Mingguan,HP/Internet,5,2026-04-01
SRV-007,Dede Kusnadi,085712345607,Bongas,Indramayu,blast,1.75,70,52,Ya,Inpari13,Gadu,14,7.8,Sedang,Visual,Mingguan,PPL,3,2026-04-02
SRV-008,Maman Suherman,085712345608,Haurgeulis,Indramayu,tungro,2.5,85,78,Tidak,Ciherang,Gadu,18,15.2,Rendah,Visual,Tidak Rutin,Sendiri,2,2026-04-02
SRV-009,Yayan Sopyan,085712345609,Gantar,Indramayu,sehat,1.0,0,0,Ya,Mekongga,Rendeng,0,9.3,Tinggi,Foto,Mingguan,PPL,5,2026-04-02
SRV-010,Aceng Rohmat,085712345610,Terisi,Indramayu,blast,0.8,60,45,Ya,IR64,Gadu,11,6.6,Sedang,Visual,Mingguan,Radio,3,2026-04-02
SRV-011,Ujang Saepudin,085712345611,Lelea,Indramayu,tungro,1.5,75,68,Tidak,Ciherang,Gadu,16,10.1,Rendah,Visual,Tidak Rutin,Tetangga,2,2026-04-02
SRV-012,Rohim Nurdin,085712345612,Widasari,Indramayu,blast,2.25,50,38,Ya,Inpari13,Rendeng,9,4.4,Sedang,Foto,Mingguan,HP/Internet,4,2026-04-02
